,,Sex,,
Characteristic,Total,Female,Male,Unknown
AGE,,,,
Total,"761,901","420,415","341,378",108
18 to 19 years,"9,367","4,769","4,597",1
20 to 24 years,"49,670","26,498","23,167",5
25 to 29 years,"77,144","43,247","33,889",8
30 to 34 years,"93,321","53,765","39,547",9
35 to 39 years,"103,047","57,744","45,293",10
40 to 44 years,"98,387","51,964","46,413",10
45 to 49 years,"80,229","42,375","37,842",12
50 to 54 years,"68,388","36,859","31,515",14
55 to 59 years,"58,026","32,206","25,805",15
60 to 64 years,"45,094","25,143","19,941",10
65 to 74 years,"57,331","32,733","24,589",9
75 years and over,"21,892",13108,8779,5
Unknown,5,4,1,-
BROAD AGE GROUPS,,,,
Total,"761,901","420,415","341,378",108
18 to 20 years,"17,986","9,232","8,753",1
21 years and over,"743,910","411,179","332,624",107
Unknown,5,4,1,-
MARITAL STATUS,,,,
Total,"761,901","420,415","341,378",108
Married,"494,461","270,314","224,136",11
Single,"158,954","78,636","80,309",9
Widowed,"24,700","21,039","3,660",1
Divorced/separated,"77,301","47,034","30,261",6
Unknown,"6,485","3,392","3,012",81
OCCUPATION,,,,
Total,"761,901","420,415","341,378",108
"Management, professional, and related occupations","145,364","75,043","70,315",6
Service occupations,"79,479","50,201","29,274",4
Sales and office occupations,"53,218","34,461","18,755",2
"Farming, fishing, and forestry occupations","3,146","1,078","2,068",-
"Construction, extraction, maintenance and repair occupations","19,200","2,262","16,937",1
"Production, transportation, and material moving occupations","67,163","20,174","46,985",4
Military,"2,735",723,"2,012",-
No occupation/not working outside home,"130,484","92,615","37,868",1
Homemakers,"31,056","29,848","1,207",1
Students or children,"15,637","9,036","6,601",-
Retirees,"20,383","10,340","10,043",-
Unemployed,"63,408","43,391","20,017",-
Unknown,"261,112","143,858","117,164",90
#NAME?,,,,
Note: Based on N-400 data for persons aged 18 and over.,,,,
Source: U.S. Department of Homeland Security.,,,,
